genres,title,specs,price,early_access,id,metascore,Action,Casual,Indie,Simulation,Strategy,Free to Play,RPG,Sports,Adventure,Racing,Early Access,Massively Multiplayer,Animation &amp; Modeling,Video Production,Utilities,Web Publishing,Education,Software Training,Design &amp; Illustration,Audio Production,Photo Editing,Accounting,year,playtime_forever
['Casual'],Mahjongg Investigations: Under Suspicion,['Single-player'],9.99,False,12540,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.0
"['Adventure', 'Indie']",Eternity's Child,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Includes level editor']",4.99,False,19500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1382.0
"['Action', 'Indie']",Tank Universal,"['Single-player', 'Steam Achievements']",4.99,False,19200,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1165.0
['Racing'],FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,False,12360,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,24488.0
['Strategy'],X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,False,7770,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1339.0
['Strategy'],X-COM: Apocalypse,['Single-player'],4.99,False,7660,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,5938.0
['Strategy'],X-COM: UFO Defense,['Single-player'],4.99,False,7760,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993.0,30004.0
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,False,20510,75.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,129290.0
['Action'],Crysis,['Single-player'],19.99,False,17300,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,215519.0
['Strategy'],X-COM: Interceptor,"['Single-player', 'Multi-player']",4.99,False,7730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,604.0
['Indie'],Multiwinia,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,False,1530,76.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,10273.0
"['Strategy', 'Simulation']",Children of the Nile: Alexandria,"['Single-player', 'Steam Achievements']",2.49,False,17120,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,9402.0
['Strategy'],Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,False,16810,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,22668.0
"['Simulation', 'Strategy']",City Life 2008,['Single-player'],9.99,False,4460,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1348.0
"['RPG', 'Strategy']",Hinterland,"['Single-player', 'Steam Achievements']",9.99,False,17140,65.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,5071.0
"['Indie', 'Casual']",Gravitron 2,"['Single-player', 'Steam Achievements']",4.99,False,21300,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,61.0
['Racing'],Xpand Rally Xtreme,"['Single-player', 'Multi-player']",4.99,False,3050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,87.0
['Casual'],Brain Spa,"['Single-player', 'Multi-player', 'Co-op']",9.99,False,15350,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,0.0
['Action'],The Sum of All Fears,"['Single-player', 'Multi-player']",9.99,False,19810,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,0.0
['Indie'],World of Goo,"['Single-player', 'Steam Achievements']",9.99,False,22000,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,43932.0
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,False,2820,73.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,141813.0
['Action'],Mare Nostrum,"['Multi-player', 'Mods', 'Steam Achievements']",0.0,False,1230,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,7029.0
"['Casual', 'Indie']",Spectraball,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support']",4.99,False,18300,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,5299.0
"['Action', 'Adventure']",Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,False,12200,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,274062.0
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",4.99,False,11240,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,2693.0
['Action'],Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,False,9480,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,696174.0
['Action'],Dead Space,"['Single-player', 'Full controller support']",19.99,False,17470,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,221705.0
['RPG'],Rise of the Argonauts,"['Single-player', 'Full controller support']",9.99,False,12770,59.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,3100.0
"['Indie', 'Strategy']",Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,18500,81.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,267145.0
['Action'],F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,False,16450,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,104579.0
"['Strategy', 'Indie']",Harvest: Massive Encounter,"['Single-player', 'Steam Achievements']",7.99,False,15400,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,7262.0
"['Indie', 'Strategy']",Mayhem Intergalactic,"['Single-player', 'Multi-player', 'Steam Achievements']",9.99,False,18600,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,141.0
"['Action', 'Indie']",Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,False,11340,64.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2242.0
['Strategy'],Knights of Honor,"['Single-player', 'Multi-player']",9.99,False,25830,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,8400.0
"['Action', 'Adventure', 'Strategy']",Ceville,['Single-player'],5.99,False,23460,73.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2936.0
['RPG'],Drakensang,['Single-player'],9.99,False,12640,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1847.0
"['Indie', 'Simulation']",The Graveyard,['Single-player'],4.99,False,27020,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1415.0
['Racing'],Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,False,24740,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,390417.0
"['Action', 'Indie']",The Maw,"['Single-player', 'Steam Achievements']",9.99,False,26000,75.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,9157.0
"['Casual', 'Indie']",Obulis,"['Single-player', 'Steam Achievements']",4.99,False,11330,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2068.0
['Indie'],Space Giraffe,['Single-player'],9.99,False,27800,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,53.0
"['Simulation', 'Strategy']",Codename: Panzers - Cold War,"['Single-player', 'Multi-player', 'Co-op']",14.99,False,9850,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,1170.0
['Casual'],Escape Rosecliff Island,['Single-player'],4.99,False,3600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,801.0
['Casual'],Puzzle Kingdoms,"['Multi-player', 'Steam Cloud']",14.99,False,23700,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,14840.0
['Casual'],Samantha Swift and the Golden Touch,['Single-player'],9.99,False,16060,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,0.0
['Strategy'],Helldorado,['Single-player'],9.99,False,18470,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,766.0
"['Action', 'Adventure', 'RPG']",X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,7510,54.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,19611.0
