genres,title,specs,price,early_access,id,metascore,Action,Casual,Indie,Simulation,Strategy,Free to Play,RPG,Sports,Adventure,Racing,Early Access,Massively Multiplayer,Animation &amp; Modeling,Video Production,Utilities,Web Publishing,Education,Software Training,Design &amp; Illustration,Audio Production,Photo Editing,Accounting,year,playtime_forever,recommend
['Action'],Return to Castle Wolfenstein,"['Single-player', 'Multi-player', 'Steam Cloud']",4.99,False,9010,88.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,25500.0,1
['Action'],Manhunt,['Single-player'],9.99,False,12130,75.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,1267.0,1
['Action'],Max Payne 2: The Fall of Max Payne,['Single-player'],9.99,False,12150,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2003.0,40984.0,0
"['Action', 'Adventure']",Tomb Raider: Legend,"['Single-player', 'Partial Controller Support']",6.99,False,7000,82.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,13864.0,2
['Action'],Max Payne,['Single-player'],9.99,False,12140,89.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,41123.0,4
['Simulation'],Tycoon City: New York,['Single-player'],9.99,False,9730,67.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,136.0,0
['Action'],Unreal Gold,"['Single-player', 'Multi-player']",9.99,False,13250,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,4207.0,1
['Simulation'],IL-2 Sturmovik: 1946,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",9.99,False,15320,86.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,54736.0,8
"['Adventure', 'Indie']",Eternity's Child,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Includes level editor']",4.99,False,19500,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1382.0,0
['Racing'],FlatOut: Ultimate Carnage,"['Single-player', 'Multi-player']",19.99,False,12360,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,24488.0,3
['Strategy'],X-COM: Enforcer,"['Single-player', 'Multi-player']",4.99,False,7770,65.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1339.0,1
['Strategy'],X-COM: Apocalypse,['Single-player'],4.99,False,7660,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.0,5938.0,2
['Strategy'],X-COM: UFO Defense,['Single-player'],4.99,False,7760,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993.0,30004.0,3
"['Action', 'RPG']",S.T.A.L.K.E.R.: Clear Sky,"['Single-player', 'Multi-player']",9.99,False,20510,75.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,129290.0,8
['Action'],Crysis,['Single-player'],19.99,False,17300,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,215519.0,8
['Strategy'],X-COM: Interceptor,"['Single-player', 'Multi-player']",4.99,False,7730,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998.0,604.0,1
['Strategy'],Sid Meier's Civilization IV: Colonization,"['Single-player', 'Multi-player']",19.99,False,16810,83.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,22668.0,1
['Racing'],Xpand Rally Xtreme,"['Single-player', 'Multi-player']",4.99,False,3050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006.0,87.0,1
['Indie'],World of Goo,"['Single-player', 'Steam Achievements']",9.99,False,22000,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,43932.0,6
"['Action', 'Simulation', 'Strategy']",X3: Terran Conflict,"['Single-player', 'Steam Achievements', 'Full controller support', 'Captions available', 'Steam Cloud']",15.99,False,2820,73.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,141813.0,1
"['Action', 'Adventure']",Bully: Scholarship Edition,"['Single-player', 'Partial Controller Support']",14.99,False,12200,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,274062.0,27
"['Action', 'Indie', 'Strategy']",Space Trader: Merchant Marine,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",4.99,False,11240,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,2693.0,1
['Action'],Saints Row 2,"['Single-player', 'Steam Cloud']",9.99,False,9480,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,696174.0,33
['Action'],Dead Space,"['Single-player', 'Full controller support']",19.99,False,17470,86.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,221705.0,19
"['Indie', 'Strategy']",Defense Grid: The Awakening,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards']",9.99,False,18500,81.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,267145.0,3
['Action'],F.E.A.R. 2: Project Origin,"['Single-player', 'Multi-player']",14.99,False,16450,79.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,104579.0,1
"['Action', 'Indie']",Larva Mortus,"['Single-player', 'Steam Achievements']",4.99,False,11340,64.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2242.0,1
['Strategy'],Knights of Honor,"['Single-player', 'Multi-player']",9.99,False,25830,77.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005.0,8400.0,2
"['Indie', 'Simulation']",The Graveyard,['Single-player'],4.99,False,27020,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,1415.0,2
['Racing'],Burnout Paradise: The Ultimate Box,"['Single-player', 'Multi-player']",19.99,False,24740,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,390417.0,33
"['Casual', 'Indie']",Obulis,"['Single-player', 'Steam Achievements']",4.99,False,11330,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2068.0,1
"['Action', 'Adventure', 'RPG']",X-Blades,"['Single-player', 'Steam Trading Cards', 'Partial Controller Support']",9.99,False,7510,54.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,19611.0,3
"['Action', 'Indie']",Zeno Clash,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']",9.99,False,22200,77.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,28967.0,6
"['RPG', 'Strategy']",King's Bounty: The Legend,"['Single-player', 'Steam Cloud']",6.99,False,25900,79.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,88818.0,1
"['RPG', 'Strategy']",Freedom Force,"['Single-player', 'Multi-player']",4.99,False,8880,90.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,5753.0,1
"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,"['Multi-player', 'Mods', 'Partial Controller Support', 'Includes level editor']",0.0,False,1280,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,172999.0,1
['Strategy'],Port Royale 2,['Single-player'],4.99,False,12470,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004.0,5246.0,0
['Adventure'],The Secret of Monkey Island: Special Edition,"['Single-player', 'Full controller support', 'Steam Cloud']",9.99,False,32360,86.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,25746.0,3
"['Action', 'Indie']",Foreign Legion: Buckets of Blood,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud']",4.99,False,36000,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,4928.0,1
"['Indie', 'Casual']",Osmos,"['Single-player', 'Steam Achievements']",9.99,False,29180,80.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,20172.0,2
['Simulation'],18 Wheels of Steel: Extreme Trucker,['Single-player'],9.99,False,33730,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,2221.0,1
"['Adventure', 'Casual', 'Indie']",Windosill,['Single-player'],2.99,False,37600,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,3275.0,1
"['Adventure', 'Indie']",Machinarium,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,40700,85.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,27537.0,7
['Action'],Medal of Honor: Airborne,"['Single-player', 'Multi-player']",9.99,False,24840,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2007.0,28445.0,5
['RPG'],Torchlight,"['Single-player', 'Steam Achievements', 'Steam Cloud', 'Includes level editor']",14.99,False,41500,83.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,344473.0,8
['Adventure'],Secret Files: Tunguska,['Single-player'],9.99,False,40330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,508.0,1
"['Action', 'Indie']",Hammerfight,['Single-player'],4.99,False,41100,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,12142.0,3
"['Action', 'Indie']",Serious Sam HD: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",14.99,False,41000,68.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,81015.0,5
['RPG'],Dragon Age: Origins,['Single-player'],19.99,False,17450,91.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,467263.0,4
"['Indie', 'Simulation', 'Strategy']",Gratuitous Space Battles,"['Single-player', 'Multi-player', 'Steam Trading Cards']",14.99,False,41800,72.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,73847.0,5
['Simulation'],Wings of Prey,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",9.99,False,45300,78.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,96286.0,2
['Casual'],Roogoo,"['Single-player', 'Multi-player']",1.99,False,38210,72.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,92.0,3
"['Action', 'Adventure']",Devil May Cry 4,"['Single-player', 'Full controller support']",19.99,False,45700,78.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,52583.0,7
"['Action', 'Indie']",Serious Sam Classic: The First Encounter,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Includes level editor']",9.99,False,41050,87.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,8569.0,1
['Action'],Grand Theft Auto: Episodes from Liberty City,"['Single-player', 'Multi-player']",19.99,False,12220,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,848404.0,8
['Indie'],Fortix,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",0.99,False,45400,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,10883.0,2
"['Action', 'Casual', 'Indie']",Beat Hazard,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards']",9.99,False,49600,70.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,111338.0,21
"['Simulation', 'Strategy']",M.U.D. TV,['Single-player'],9.99,False,43500,53.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2204.0,0
"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Steam Leaderboards']",4.99,False,40930,79.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,4495.0,2
"['Action', 'Indie']",Iron Grip: Warlord,"['Single-player', 'Multi-player', 'Co-op', 'Steam Achievements']",0.0,False,31700,59.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008.0,12961.0,1
"['Action', 'Indie']",Flight of the Icarus,['Single-player'],4.99,False,49800,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,2027.0,0
['Action'],Alien Breed: Impact,"['Single-player', 'Co-op', 'Steam Achievements', 'Partial Controller Support']",9.99,False,22610,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,4914.0,1
['Strategy'],Fantasy Wars,"['Single-player', 'Multi-player', 'Steam Cloud', 'Includes level editor']",4.99,False,63900,67.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,6374.0,1
['Action'],Mafia II,"['Single-player', 'Steam Achievements', 'Partial Controller Support']",29.99,False,50130,77.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011.0,682547.0,42
['Simulation'],Ship Simulator Extremes,"['Single-player', 'Multi-player']",19.99,False,48800,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,34845.0,2
['Strategy'],Worms Reloaded,"['Single-player', 'Multi-player', 'Steam Achievements', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Steam Leaderboards']",19.99,False,22600,79.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,179276.0,11
"['Indie', 'Simulation', 'Strategy']",Making History II: The War of the World,"['Single-player', 'Multi-player', 'Cross-Platform Multiplayer', 'Steam Trading Cards', 'Steam Workshop', 'Includes level editor']",14.99,False,46770,38.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,5329.0,1
['Strategy'],Victoria II,"['Single-player', 'Multi-player', 'Steam Trading Cards']",19.99,False,42960,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,556100.0,9
['Strategy'],Cossacks: Back to War,"['Single-player', 'Multi-player']",4.99,False,4850,60.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002.0,3652.0,1
['Casual'],Chime,"['Single-player', 'Steam Achievements', 'Partial Controller Support', 'Stats', 'Steam Leaderboards']",4.99,False,62100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,6807.0,2
"['Action', 'Indie']",VVVVVV,"['Single-player', 'Full controller support']",4.99,False,70300,81.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,36902.0,13
"['Action', 'Adventure', 'Indie']",Amnesia: The Dark Descent,"['Single-player', 'Full controller support', 'Captions available', 'Commentary available']",19.99,False,57300,85.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,257880.0,43
"['RPG', 'Indie']",Recettear: An Item Shop's Tale,"['Single-player', 'Partial Controller Support']",19.99,False,70400,82.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,148370.0,13
['Simulation'],Hacker Evolution,"['Single-player', 'Steam Trading Cards']",4.99,False,70100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,15800.0,2
"['Casual', 'Indie']",Faerie Solitaire,"['Single-player', 'Steam Achievements', 'Steam Trading Cards']",9.99,False,38600,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010.0,71079.0,6
